"LocationId","EffectiveStartDate","EffectiveEndDate","LocationCode","LocationName","ActiveStatus","CountryCode","CountryName","Region1","Region2","TownOrCity","PostalCode","SetId","SetCode","SetName","SingleLineAddress"
300000230196605,"1951-01-01","4712-12-31","204B","DS - Patna, India","A","IN","India",,"Bihar","Patna",,0,"COMMON","Common Set","NA, PATNA, Bihar, INDIA"
300000230204963,"1951-01-01","4712-12-31","507P","DS - Patuakhali, Bangladesh","A","BD","Bangladesh",,,"Patuakhali",,0,"COMMON","Common Set","NA, PATUAKHALI, BANGLADESH"
300000230205624,"2020-03-01","4712-12-31","495G","DS - Pec, Kosovo","A","XK","Kosovo",,,"Pec",,0,"COMMON","Common Set","NA, PEC, KOSOVO"
300000230196176,"1951-01-01","4712-12-31","135C","DS - Pedernales, Ecuador","A","EC","Ecuador",," ","Pedernales",,0,"COMMON","Common Set","NA, PEDERNALES, ECUADOR"
300000230202692,"2016-10-01","4712-12-31","204II","DS - Pekanbaru - Wrong entry, Indonesia","I","ID","Indonesia",," ","Pekanbaru - Wrong entry",,0,"COMMON","Common Set","NA, PEKANBARU - WRONG ENTRY, INDONESIA"
300000230202581,"1951-01-01","4712-12-31","207II","DS - Pekanbaru, Indonesia","A","ID","Indonesia",," ","Pekanbaru",,0,"COMMON","Common Set","NA, PEKANBARU, INDONESIA"
300000230204829,"1951-01-01","4712-12-31","6898","DS - Pemba, Mozambique","A","MZ","Mozambique",,,"Pemba",,0,"COMMON","Common Set","NA, PEMBA, MOZAMBIQUE"
300000230193901,"1951-01-01","4712-12-31","093CX","DS - Pereira, Colombia","A","CO","Colombia",,,"Pereira",,0,"COMMON","Common Set","NA, Pereira, COLOMBIA"
300000230198646,"1951-01-01","4712-12-31","3306","DS - Peshawar, Pakistan","A","PK","Pakistan",,,"Peshawar",,0,"COMMON","Common Set","NA, PESHAWAR, PAKISTAN"
300000230194010,"1951-01-01","4712-12-31","1687","DS - Peten, Guatemala","A","GT","Guatemala",,,"Peten",,0,"COMMON","Common Set","NA, PETEN, GUATEMALA"
