"GradeLadderId","EffectiveStartDate","EffectiveEndDate","Name","ActiveStatus","GradeSetId","GradeTypeCode","GradeType","SetId","SetCode","SetName"
300000230772065,"1951-01-01","4712-12-31","National GS MZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230942190,"1951-01-01","4712-12-31","National GS MZ Grade Ladder <01/12/17","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230905743,"1951-01-01","4712-12-31","National GS NA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230841280,"1951-01-01","4712-12-31","National GS NE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230941555,"1951-01-01","4712-12-31","National GS NG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230926647,"1951-01-01","4712-12-31","National GS NI Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230913364,"1951-01-01","4712-12-31","National GS NL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231041591,"1951-01-01","4712-12-31","National GS NO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230780340,"1951-01-01","4712-12-31","National GS NP Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230798216,"1951-01-01","4712-12-31","National GS NR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230857032,"1951-01-01","4712-12-31","National GS OM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230768440,"1951-01-01","4712-12-31","National GS PA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230784579,"1951-01-01","4712-12-31","National GS PE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231027620,"1951-01-01","4712-12-31","National GS PG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230976911,"1951-01-01","4712-12-31","National GS PH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230861781,"1951-01-01","4712-12-31","National GS PK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230820496,"1951-01-01","4712-12-31","National GS PL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230942367,"1951-01-01","4712-12-31","National GS PT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230939410,"1951-01-01","4712-12-31","National GS PW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231059238,"1951-01-01","4712-12-31","National GS PY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230895117,"1951-01-01","4712-12-31","National GS QA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230854630,"1951-01-01","4712-12-31","National GS RO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230828638,"1951-01-01","4712-12-31","National GS RS Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231052019,"1951-01-01","4712-12-31","National GS RS Grade Ladder <01/07/17","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230955036,"1951-01-01","4712-12-31","National GS RU Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230787353,"1951-01-01","4712-12-31","National GS RW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231070401,"1951-01-01","4712-12-31","National GS SA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230922894,"1951-01-01","4712-12-31","National GS SB Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230761081,"1951-01-01","4712-12-31","National GS SC Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231090073,"1951-01-01","4712-12-31","National GS SD Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230868315,"1951-01-01","4712-12-31","National GS SE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230883502,"1951-01-01","4712-12-31","National GS SG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231016468,"1951-01-01","4712-12-31","National GS SI Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231075465,"1951-01-01","4712-12-31","National GS SK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231095105,"1951-01-01","4712-12-31","National GS SL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230977836,"1951-01-01","4712-12-31","National GS SN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230776481,"1951-01-01","4712-12-31","National GS SO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231034948,"1951-01-01","4712-12-31","National GS SR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230870688,"1951-01-01","4712-12-31","National GS SS Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231041409,"1951-01-01","4712-12-31","National GS ST Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231050096,"1951-01-01","4712-12-31","National GS SV Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230963010,"1951-01-01","4712-12-31","National GS SV Grade Ladder <01/05/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230895655,"1951-01-01","4712-12-31","National GS SY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231056238,"1951-01-01","4712-12-31","National GS SZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230803958,"1951-01-01","4712-12-31","National GS TD Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230892566,"1951-01-01","4712-12-31","National GS TG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230823909,"1951-01-01","4712-12-31","National GS TH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231076874,"1951-01-01","4712-12-31","National GS TH Grade Ladder <01/03/12","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230946510,"1951-01-01","4712-12-31","National GS TJ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231004509,"1951-01-01","4712-12-31","National GS TJ Grade Ladder <01/11/15","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230805868,"1951-01-01","4712-12-31","National GS TL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231065278,"1951-01-01","4712-12-31","National GS TM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230779849,"1951-01-01","4712-12-31","National GS TN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230786082,"1951-01-01","4712-12-31","National GS TO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230936002,"1951-01-01","4712-12-31","National GS TR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230907689,"1951-01-01","4712-12-31","National GS TT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231072895,"1951-01-01","4712-12-31","National GS TV Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230985324,"1951-01-01","4712-12-31","National GS TZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230891367,"1951-01-01","4712-12-31","National GS UA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231007432,"1951-01-01","4712-12-31","National GS UG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230886144,"1951-01-01","4712-12-31","National GS US NYC Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230921251,"1951-01-01","4712-12-31","National GS US WAS Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230936761,"1951-01-01","4712-12-31","National GS UY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230877337,"1951-01-01","4712-12-31","National GS UZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230990532,"1951-01-01","4712-12-31","National GS VE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230784434,"1951-01-01","4712-12-31","National GS VN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230835063,"1951-01-01","4712-12-31","National GS VU Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230882397,"1951-01-01","4712-12-31","National GS WS Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230967469,"1951-01-01","4712-12-31","National GS XK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
