"SalaryBasisName","SalaryBasisId","FrequencyCode","FrequencyName","Code","Status","SalaryBasisType","ComponentUsage","AnnualizationFactor","SalaryAmountScale","GradeRateId","InputCurrencyCode","ElementTypeId","LegislativeDataGroupId","UseAtRelationshipLevel","UseAtTermsLevel","UseAtAssignmentLevel"
"National Volunteer PA Community Volunteer PAB Salary Basis",300000232392167,"ANNUAL","Annually","PANZ","A","U","NO_COMPONENT",1,2,300000231034086,"PAB",300000231651206,300000002583089,"N","N","Y"
"National Volunteer PA Expert PAB Salary Basis",300000232392954,"ANNUAL","Annually","PAN1","A","U","NO_COMPONENT",1,2,300000230772118,"PAB",300000231651206,300000002583089,"N","N","Y"
"National Volunteer PA Specialist PAB Salary Basis",300000232394379,"ANNUAL","Annually","PANY","A","U","NO_COMPONENT",1,2,300000230783679,"PAB",300000231651206,300000002583089,"N","N","Y"
"National Volunteer PA University PAB Salary Basis",300000232392088,"ANNUAL","Annually","PANE","A","U","NO_COMPONENT",1,2,300000231035723,"PAB",300000231651206,300000002583089,"N","N","Y"
"National Volunteer PA Youth PAB Salary Basis",300000232393748,"ANNUAL","Annually","PAND","A","U","NO_COMPONENT",1,2,300000230820529,"PAB",300000231651206,300000002583089,"N","N","Y"
"National Volunteer PE Community Volunteer PEN Salary Basis",300000232391626,"ANNUAL","Annually","PERZ","A","U","NO_COMPONENT",1,2,300000230961516,"PEN",300000231371006,300000002583089,"N","N","Y"
"National Volunteer PE Expert PEN Salary Basis",300000232392521,"ANNUAL","Annually","PER1","A","U","NO_COMPONENT",1,2,300000230995288,"PEN",300000231371006,300000002583089,"N","N","Y"
"National Volunteer PE Specialist PEN Salary Basis",300000232391893,"ANNUAL","Annually","PERY","A","U","NO_COMPONENT",1,2,300000230758636,"PEN",300000231371006,300000002583089,"N","N","Y"
"National Volunteer PE University PEN Salary Basis",300000232391826,"ANNUAL","Annually","PERE","A","U","NO_COMPONENT",1,2,300000230936601,"PEN",300000231371006,300000002583089,"N","N","Y"
"National Volunteer PE Youth PEN Salary Basis",300000232391764,"ANNUAL","Annually","PERD","A","U","NO_COMPONENT",1,2,300000230936634,"PEN",300000231371006,300000002583089,"N","N","Y"
"National Volunteer PG Community Volunteer PGK Salary Basis",300000232391976,"ANNUAL","Annually","PNGZ","A","U","NO_COMPONENT",1,2,300000230806083,"PGK",300000231412009,300000002583089,"N","N","Y"
"National Volunteer PG Expert PGK Salary Basis",300000232392195,"ANNUAL","Annually","PNG1","A","U","NO_COMPONENT",1,2,300000230996579,"PGK",300000231412009,300000002583089,"N","N","Y"
"National Volunteer PG Specialist PGK Salary Basis",300000232391378,"ANNUAL","Annually","PNGY","A","U","NO_COMPONENT",1,2,300000230999917,"PGK",300000231412009,300000002583089,"N","N","Y"
"National Volunteer PG University PGK Salary Basis",300000232392720,"ANNUAL","Annually","PNGE","A","U","NO_COMPONENT",1,2,300000230972159,"PGK",300000231412009,300000002583089,"N","N","Y"
"National Volunteer PG Youth PGK Salary Basis",300000232392054,"ANNUAL","Annually","PNGD","A","U","NO_COMPONENT",1,2,300000230894163,"PGK",300000231412009,300000002583089,"N","N","Y"
"National Volunteer PH Community Volunteer PHP Salary Basis",300000232391950,"ANNUAL","Annually","PHLZ","A","U","NO_COMPONENT",1,2,300000230779976,"PHP",300000231419009,300000002583089,"N","N","Y"
"National Volunteer PH Expert PHP Salary Basis",300000232392754,"ANNUAL","Annually","PHL1","A","U","NO_COMPONENT",1,2,300000230771847,"PHP",300000231419009,300000002583089,"N","N","Y"
"National Volunteer PH Specialist PHP Salary Basis",300000232389764,"ANNUAL","Annually","PHLY","A","U","NO_COMPONENT",1,2,300000230868116,"PHP",300000231419009,300000002583089,"N","N","Y"
"National Volunteer PH University PHP Salary Basis",300000232393600,"ANNUAL","Annually","PHLE","A","U","NO_COMPONENT",1,2,300000231048014,"PHP",300000231419009,300000002583089,"N","N","Y"
"National Volunteer PH Youth PHP Salary Basis",300000232393964,"ANNUAL","Annually","PHLD","A","U","NO_COMPONENT",1,2,300000230886013,"PHP",300000231419009,300000002583089,"N","N","Y"
"National Volunteer PK Community Volunteer PKR Salary Basis",300000232391719,"ANNUAL","Annually","PAKZ","A","U","NO_COMPONENT",1,2,300000230927250,"PKR",300000231250622,300000002583089,"N","N","Y"
"National Volunteer PK Expert PKR Salary Basis",300000232391394,"ANNUAL","Annually","PAK1","A","U","NO_COMPONENT",1,2,300000230916930,"PKR",300000231250622,300000002583089,"N","N","Y"
"National Volunteer PK Specialist PKR Salary Basis",300000232391687,"ANNUAL","Annually","PAKY","A","U","NO_COMPONENT",1,2,300000230851114,"PKR",300000231250622,300000002583089,"N","N","Y"
"National Volunteer PK University PKR Salary Basis",300000232390101,"ANNUAL","Annually","PAKE","A","U","NO_COMPONENT",1,2,300000230803178,"PKR",300000231250622,300000002583089,"N","N","Y"
"National Volunteer PK Youth PKR Salary Basis",300000232392659,"ANNUAL","Annually","PAKD","A","U","NO_COMPONENT",1,2,300000230934716,"PKR",300000231250622,300000002583089,"N","N","Y"
"National Volunteer PS Community Volunteer ILS Salary Basis",300000232392691,"ANNUAL","Annually","PSEZ","A","U","NO_COMPONENT",1,2,300000231002073,"ILS",300000231398161,300000002583089,"N","N","Y"
